true_values,rounded_predictions,predicted_values
6,6.0,5.90023279512545
5,6.0,5.899647540810503
6,6.0,5.899619652209612
5,6.0,5.899525230684365
6,6.0,5.899647540810503
5,6.0,5.894181106738783
5,6.0,5.9001291551604815
5,6.0,5.898924877837157
5,6.0,5.9001291551604815
6,6.0,5.898188329021348
7,6.0,5.899132541778347
3,6.0,5.898188329021348
5,6.0,5.899525230684365
5,6.0,5.899797098164187
6,6.0,5.899797098164187
7,6.0,5.900263675381021
5,6.0,5.900064327056924
7,6.0,5.89953492300175
8,6.0,5.895068201447435
5,6.0,5.89719048270843
5,6.0,5.897948317148667
6,6.0,5.899235658065614
5,6.0,5.898188329021348
6,6.0,5.899525230684365
6,6.0,5.9000959015963526
6,6.0,5.894115251440292
7,6.0,5.898064909631199
6,6.0,5.891381638817696
5,6.0,5.9000959015963526
6,6.0,5.899619652209612
5,6.0,5.899210574189382
5,6.0,5.90025134943939
6,6.0,5.9001291551604815
5,6.0,5.895658946493712
6,6.0,5.891381638817696
5,6.0,5.898064909631199
7,6.0,5.8929903138916275
5,6.0,5.894115251440292
4,6.0,5.899404719693923
6,6.0,5.899383025058994
5,6.0,5.894096172166361
5,6.0,5.895658946493712
7,6.0,5.89759084248076
5,6.0,5.895658946493712
5,6.0,5.89597673097655
6,6.0,5.899797098164187
7,6.0,5.900263675381021
6,6.0,5.89597673097655
5,6.0,5.90025134943939
6,6.0,5.900064327056924
5,6.0,5.899314218777032
5,6.0,5.894096172166361
5,6.0,5.90025134943939
7,6.0,5.899235285632883
6,6.0,5.894115251440292
6,6.0,5.895803776163316
6,6.0,5.898924877837157
5,6.0,5.900064327056924
5,6.0,5.899647540810503
5,6.0,5.900314291985138
5,6.0,5.898873910169222
7,6.0,5.895658946493712
5,6.0,5.899797098164187
6,6.0,5.897948317148667
6,6.0,5.899619652209612
5,6.0,5.899647540810503
6,6.0,5.89953492300175
5,6.0,5.89821126840893
6,6.0,5.894181106738783
5,6.0,5.9000959015963526
6,6.0,5.897948317148667
4,6.0,5.900064327056924
6,6.0,5.898873910169222
6,6.0,5.8929903138916275
6,6.0,5.900064327056924
5,6.0,5.899132541778347
8,6.0,5.891915259449292
5,6.0,5.90025134943939
6,6.0,5.8920239763934905
6,6.0,5.90028308907391
5,6.0,5.897683315955516
6,6.0,5.899994449255164
5,6.0,5.897948317148667
6,6.0,5.899383025058994
6,6.0,5.90025134943939
7,6.0,5.895068201447435
5,6.0,5.900064327056924
6,6.0,5.899235285632883
7,6.0,5.90023279512545
4,6.0,5.900314291985138
7,6.0,5.899619652209612
6,6.0,5.895207085182095
5,6.0,5.904781415450668
5,6.0,5.895273277554016
5,6.0,5.899314218777032
6,6.0,5.896588829369394
5,6.0,5.899235658065614
6,6.0,5.898873910169222
5,6.0,5.899647540810503
6,6.0,5.899525230684365
5,6.0,5.895502402071747
5,6.0,5.894181106738783
5,6.0,5.8963525875644045
7,6.0,5.897948317148667
6,6.0,5.899235658065614
7,6.0,5.898924877837157
6,6.0,5.889654909220691
5,6.0,5.899235658065614
6,6.0,5.894181106738783
5,6.0,5.889422702523762
8,6.0,5.904781415450668
5,6.0,5.89719048270843
6,6.0,5.891381638817696
5,6.0,5.898873910169222
6,6.0,5.900263675381021
7,6.0,5.889654909220691
6,6.0,5.891381638817696
6,6.0,5.899619652209612
5,6.0,5.90025134943939
6,6.0,5.8967722001400835
6,6.0,5.898873910169222
6,6.0,5.900064327056924
6,6.0,5.90028308907391
6,6.0,5.9001291551604815
6,6.0,5.898924877837157
6,6.0,5.899314218777032
7,6.0,5.8963525875644045
6,6.0,5.899994449255164
5,6.0,5.896904944591213
5,6.0,5.891915259449292
6,6.0,5.898873910169222
5,6.0,5.8929903138916275
5,6.0,5.892879219460501
5,6.0,5.8963525875644045
6,6.0,5.900064327056924
5,6.0,5.894181106738783
5,6.0,5.899383025058994
5,6.0,5.898414232560344
5,6.0,5.891134491051544
6,6.0,5.9000959015963526
7,6.0,5.899404719693923
6,6.0,5.897948317148667
8,6.0,5.899994449255164
5,6.0,5.894181106738783
5,6.0,5.89597673097655
5,6.0,5.899994449255164
6,6.0,5.8929903138916275
6,6.0,5.900064327056924
6,6.0,5.899647540810503
5,6.0,5.899994449255164
6,6.0,5.90028308907391
7,6.0,5.894181106738783
6,6.0,5.899210574189382
5,6.0,5.891315748653725
6,6.0,5.898873910169222
5,6.0,5.8967722001400835
5,6.0,5.89821126840893
6,6.0,5.90025134943939
6,6.0,5.899383025058994
6,6.0,5.899890971240707
7,6.0,5.895273277554016
5,6.0,5.895480935760036
7,6.0,5.89719048270843
5,6.0,5.898873910169222
5,6.0,5.899797098164187
5,6.0,5.899797098164187
6,6.0,5.899314218777032
6,6.0,5.899383025058994
5,6.0,5.895068201447435
5,6.0,5.9000959015963526
6,6.0,5.9001291551604815
5,6.0,5.899797098164187
7,6.0,5.895273277554016
6,6.0,5.8963525875644045
7,6.0,5.89053864319361
6,6.0,5.896588829369394
6,6.0,5.898064909631199
5,6.0,5.898873910169222
5,6.0,5.9001291551604815
6,6.0,5.897683315955516
4,6.0,5.90025134943939
6,6.0,5.899383025058994
5,6.0,5.89953492300175
7,6.0,5.89719048270843
5,6.0,5.891134491051544
5,6.0,5.8963525875644045
4,6.0,5.895502402071747
5,6.0,5.899210574189382
7,6.0,5.899890971240707
6,6.0,5.8963525875644045
5,6.0,5.8929903138916275
6,6.0,5.89053864319361
6,6.0,5.899210574189382
7,6.0,5.89953492300175
6,6.0,5.899404719693923
5,6.0,5.90025134943939
5,6.0,5.9000959015963526
6,6.0,5.8967722001400835
5,6.0,5.900064327056924
7,6.0,5.898924877837157
5,6.0,5.8920239763934905
6,6.0,5.839071638068478
6,6.0,5.897948317148667
5,6.0,5.9000959015963526
7,6.0,5.899314218777032
5,6.0,5.9000959015963526
5,6.0,5.89719048270843
5,6.0,5.895803776163316
6,6.0,5.899314218777032
7,6.0,5.899235658065614
7,6.0,5.8999600145814135
5,6.0,5.895658946493712
5,6.0,5.898064909631199
6,6.0,5.899797098164187
6,6.0,5.895207085182095
7,6.0,5.900064327056924
6,6.0,5.895207085182095
5,6.0,5.899619652209612
6,6.0,5.8920239763934905
6,6.0,5.891381638817696
6,6.0,5.90028308907391
